Event Name,Start Time,Address,Guest Count,Hosts,Url
"Learning from our Elders: A Showcase of Culture, Community + Craft",2025-05-10T16:30:00.000Z,"ThirdSpace, 47 Thames St #202, Brooklyn, NY 11237, USA",0,"imany_sewnami, merna ahmed",https://lu.ma/ucdt3qyd
Cake Club: Garden Party,2025-05-10T19:00:00.000Z,"20 Grand Ave, Brooklyn, NY 11205, USA",0,RecCreate Collective,https://lu.ma/msacudi4
Supply Swap to Celebrate World Collage Day!,2025-05-10T19:00:00.000Z,"Market Bar, 1207 Nostrand Ave, Brooklyn, NY 11225, USA",0,Lisa-Marie,https://lu.ma/3w7i1jjw
NYC B2B: Pre-Seed + Seed Founders & Investors Meetup,2025-05-12T22:30:00.000Z,,131,Manan Modi,https://lu.ma/mumsb4ev
ComfyUI Official NYC May Meet-Up,2025-05-13T22:00:00.000Z,"337 Butler St, Brooklyn, NY 11217, USA",79,"Livepeer, Sahar Mor",https://lu.ma/q4ibx9ia
Tech Kickoff Party,2025-05-13T22:00:00.000Z,,0,"Andrew Yeung, Ankur Nagpal",https://lu.ma/oooparty
"""Bring Your Brand"" | CPG Hangout",2025-05-14T12:00:00.000Z,"62 Bedford St, New York, NY 10014, USA",32,"Zach Bingham, Nate Rosen, Louisa Li",https://lu.ma/kxketlyn
"The AI Breakfast Club: Real Stories, Real Impact w/ Deel, Hubstaff & Soma Capital",2025-05-14T13:00:00.000Z,"446 Broadway, New York, NY 10013, USA",32,"Jordynn Johnson-Knoops, Kenan Kitchen, Kylie Bonassi",https://lu.ma/6esqeuzn
The Beauty Social x CAMI NYC | May Happy Hour,2025-05-14T22:00:00.000Z,,30,"The Beauty Social, Stacey Levine, Lauren Ludlow",https://lu.ma/jmizitv1
The OOO Summit 2025 | The Flagship NYC Entrepreneurship Event,2025-05-16T13:00:00.000Z,,0,"Andrew Yeung, Ankur Nagpal",https://lu.ma/2025
Brazilian Food And Cocktail Party ￼🍹🇧🇷,2025-05-17T17:00:00.000Z,"35-33 29th St apt d6, Astoria, NY 11106, USA",23,Amanda M. Halkiotis,https://lu.ma/mfrgxvox
"""I'll Have What Cheese Having"" Book Launch Party",2025-05-17T21:00:00.000Z,,14,Trust Your Taste,https://lu.ma/37sbu1rn
A Civic Tech'ish Coffee Hour,2025-05-18T15:00:00.000Z,,72,"Jonathan Internicola, Aidan Feldman",https://lu.ma/wlu0ds89
Inside Jokes,2025-05-23T01:00:00.000Z,"Flop House Comedy Club, 362 Grand St, Brooklyn, NY 11211, USA",0,"Jordan Perry, Erin Mikail Staples",https://lu.ma/0gx0bk5i
